id,character,created_at,updated_at,jlpt,grade,kanjimap_url,kanjigraph_url,meanings,cluster,learned
1,割,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n2,e6,thekanjimap.com/割,japanesegraph.com/割,"[""divide/ratio""]",quantity_degree,false
2,引,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e2,thekanjimap.com/引,japanesegraph.com/引,"[""pull/discount""]",,false
3,弁,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n2,e5,thekanjimap.com/弁,japanesegraph.com/弁,"[""bento/speech""]",,false
4,当,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e2,thekanjimap.com/当,japanesegraph.com/当,"[""hit/current""]",,false
5,温,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/温,japanesegraph.com/温,"[""warm""]",weather,false
6,袋,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n2,j2,thekanjimap.com/袋,japanesegraph.com/袋,"[""bag/sack""]",tool_object,false
7,領,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n2,e5,thekanjimap.com/領,japanesegraph.com/領,"[""territory/receipt""]",,false
8,収,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n2,e6,thekanjimap.com/収,japanesegraph.com/収,"[""income/collect""]",money_business,false
9,書,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/書,japanesegraph.com/書,"[""write""]",communication,false
10,店,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/店,japanesegraph.com/店,"[""store/shop""]",building_place,false
11,員,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/員,japanesegraph.com/員,"[""member/staff""]",work_occupation,false
12,飲,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e3,thekanjimap.com/飲,japanesegraph.com/飲,"[""drink""]",food,false
13,物,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n5,e3,thekanjimap.com/物,japanesegraph.com/物,"[""thing/object""]",tool_object,false
14,出,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n5,e1,thekanjimap.com/出,japanesegraph.com/出,"[""exit/out""]",direction_position,false
15,口,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/口,japanesegraph.com/口,"[""mouth/entrance""]",body_part,false
16,入,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n5,e1,thekanjimap.com/入,japanesegraph.com/入,"[""enter""]",direction_position,false
17,乗,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/乗,japanesegraph.com/乗,"[""ride/board""]",transportation,false
18,換,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:54:15.664488+00:00,n2,j2,thekanjimap.com/換,japanesegraph.com/換,"[""exchange/change""]",,false
19,改,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n2,e4,thekanjimap.com/改,japanesegraph.com/改,"[""reform/ticket gate""]",,false
20,札,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n3,e4,thekanjimap.com/札,japanesegraph.com/札,"[""tag/card""]",tool_object,false
21,定,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e3,thekanjimap.com/定,japanesegraph.com/定,"[""fixed/set""]",,false
22,期,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/期,japanesegraph.com/期,"[""period/term""]",time_date,false
23,券,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n3,e5,thekanjimap.com/券,japanesegraph.com/券,"[""ticket/voucher""]",tool_object,false
24,遅,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n3,j1,thekanjimap.com/遅,japanesegraph.com/遅,"[""late/slow""]",time_date,false
25,延,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n2,e6,thekanjimap.com/延,japanesegraph.com/延,"[""extend/delay""]",time_date,false
26,終,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n4,e3,thekanjimap.com/終,japanesegraph.com/終,"[""end/final""]",time_date,false
27,電,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/電,japanesegraph.com/電,"[""electricity""]",technology,false
28,運,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e3,thekanjimap.com/運,japanesegraph.com/運,"[""carry/luck""]",,false
29,賃,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e6,thekanjimap.com/賃,japanesegraph.com/賃,"[""wage/fare""]",money_business,false
30,自,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e2,thekanjimap.com/自,japanesegraph.com/自,"[""self/oneself""]",,false
31,由,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e3,thekanjimap.com/由,japanesegraph.com/由,"[""reason/freedom""]",,false
32,席,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e4,thekanjimap.com/席,japanesegraph.com/席,"[""seat""]",,false
33,試,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e4,thekanjimap.com/試,japanesegraph.com/試,"[""try/test""]",education,false
34,着,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/着,japanesegraph.com/着,"[""arrive/wear""]",clothing,false
35,在,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e5,thekanjimap.com/在,japanesegraph.com/在,"[""exist/stock""]",,false
36,庫,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/庫,japanesegraph.com/庫,"[""storehouse""]",building_place,false
37,返,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e3,thekanjimap.com/返,japanesegraph.com/返,"[""return""]",,false
38,品,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n3,e3,thekanjimap.com/品,japanesegraph.com/品,"[""goods/item""]",tool_object,false
39,送,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e3,thekanjimap.com/送,japanesegraph.com/送,"[""send""]",,false
