id,word,created_at,context_id,reading,part_of_speech,updated_at,meanings,sub_part_of_speech,jlpt,source_id,kana_type,learned,language,concept_id,gender,plural,cefr
1,おにぎり,2026-06-28T05:34:01.023883+00:00,1,,noun,2026-08-28T15:27:38.173273+00:00,"[""rice ball""]",,,39,hiragana,true,ja,32,,,
2,レジ,2026-06-28T05:34:01.023883+00:00,1,,noun,2026-08-28T15:27:38.173273+00:00,"[""cashier / register""]",,,39,katakana,false,ja,807,,,
3,割引,2026-06-28T05:34:01.023883+00:00,1,わりびき,noun,2026-08-28T15:27:38.173273+00:00,"[""discount""]",,n3,39,kanji,false,ja,310,,,
4,弁当,2026-06-28T05:34:01.023883+00:00,1,べんとう,noun,2026-08-28T15:27:38.173273+00:00,"[""bento box""]",,,37,kanji,false,ja,788,,,
5,温める,2026-06-28T05:34:01.023883+00:00,1,あたためる,verb,2026-08-28T15:27:38.173273+00:00,"[""to heat up""]",ichidan verb,,39,kanji,false,ja,1202,,,
6,袋,2026-06-28T05:34:01.023883+00:00,1,ふくろ,noun,2026-08-28T15:27:38.173273+00:00,"[""bag""]",,,39,kanji,false,ja,887,,,
7,レシート,2026-06-28T05:34:01.023883+00:00,1,,noun,2026-08-28T15:27:38.173273+00:00,"[""receipt""]",,,39,katakana,false,ja,594,,,
8,店員,2026-06-28T05:34:01.023883+00:00,1,てんいん,noun,2026-08-28T15:27:38.173273+00:00,"[""store staff""]",,n4,39,kanji,false,ja,765,,,
9,飲み物,2026-06-28T05:34:01.023883+00:00,1,のみもの,noun,2026-08-28T15:27:38.173273+00:00,"[""drink / beverage""]",,n5,39,kanji,false,ja,1123,,,
10,コピー,2026-06-28T05:34:01.023883+00:00,1,,noun,2026-08-28T15:27:38.173273+00:00,"[""photocopy""]",,,39,katakana,false,ja,886,,,
11,出口,2026-06-28T05:34:01.023883+00:00,2,でぐち,noun,2026-08-28T15:27:38.173273+00:00,"[""exit""]",,n5,,kanji,false,ja,51,,,
12,入口,2026-06-28T05:34:01.023883+00:00,2,いりぐち,noun,2026-08-28T15:27:38.173273+00:00,"[""entrance""]",,n5,,kanji,false,ja,1469,,,
13,乗り換え,2026-06-28T05:34:01.023883+00:00,2,のりかえ,noun,2026-08-28T15:27:38.173273+00:00,"[""transfer (train)""]",,n3,19,kanji,false,ja,1259,,,
14,改札,2026-06-28T05:34:01.023883+00:00,2,かいさつ,noun,2026-08-28T15:27:38.173273+00:00,"[""ticket gate""]",,,,kanji,false,ja,188,,,
15,ホーム,2026-06-28T05:34:01.023883+00:00,2,,noun,2026-08-28T15:27:38.173273+00:00,"[""platform""]",,,,katakana,true,ja,414,,,
16,定期券,2026-06-28T05:34:01.023883+00:00,2,ていきけん,noun,2026-08-28T15:27:38.173273+00:00,"[""commuter pass""]",,,,kanji,false,ja,450,,,
17,遅延,2026-06-28T05:34:01.023883+00:00,2,ちえん,noun,2026-08-28T15:27:38.173273+00:00,"[""delay""]",,,,kanji,false,ja,926,,,
18,終電,2026-06-28T05:34:01.023883+00:00,2,しゅうでん,noun,2026-08-28T15:27:38.173273+00:00,"[""last train""]",,,,kanji,false,ja,1009,,,
19,運賃,2026-06-28T05:34:01.023883+00:00,2,うんちん,noun,2026-08-28T15:27:38.173273+00:00,"[""fare""]",,,,kanji,false,ja,172,,,
20,自由席,2026-06-28T05:34:01.023883+00:00,2,じゆうせき,noun,2026-08-28T15:27:38.173273+00:00,"[""unreserved seat""]",,,,kanji,false,ja,373,,,
21,試着,2026-06-28T05:34:01.023883+00:00,3,しちゃく,noun,2026-08-28T15:27:38.173273+00:00,"[""fitting / trying on clothes""]",,,,kanji,false,ja,375,,,
22,サイズ,2026-06-28T05:34:01.023883+00:00,3,,noun,2026-08-28T15:27:38.173273+00:00,"[""size""]",,,,katakana,false,ja,1250,,,
