id,sentence_id,kotoba_id,created_at
1,1,142,2026-07-12T14:21:13.326412+00:00
3,3,88,2026-07-12T14:21:13.326412+00:00
4,4,193,2026-07-12T14:21:13.326412+00:00
5,5,210,2026-07-12T14:21:13.326412+00:00
6,6,134,2026-07-12T14:21:13.326412+00:00
7,7,188,2026-07-12T14:21:13.326412+00:00
8,8,196,2026-07-12T14:21:13.326412+00:00
9,9,143,2026-07-12T14:21:13.326412+00:00
10,10,163,2026-07-12T14:21:13.326412+00:00
11,11,206,2026-07-12T14:21:13.326412+00:00
12,12,128,2026-07-12T14:21:13.326412+00:00
13,13,92,2026-07-12T14:21:13.326412+00:00
14,14,93,2026-07-12T14:21:13.326412+00:00
15,15,71,2026-07-12T14:21:13.326412+00:00
16,16,133,2026-07-12T14:21:13.326412+00:00
17,17,190,2026-07-12T14:21:13.326412+00:00
18,18,129,2026-07-12T14:21:13.326412+00:00
19,19,115,2026-07-12T14:21:13.326412+00:00
21,21,162,2026-07-12T14:21:13.326412+00:00
22,22,150,2026-07-12T14:21:13.326412+00:00
23,23,146,2026-07-12T14:21:13.326412+00:00
24,24,179,2026-07-12T14:21:13.326412+00:00
25,25,121,2026-07-12T14:21:13.326412+00:00
26,26,174,2026-07-12T14:21:13.326412+00:00
27,27,178,2026-07-12T14:21:13.326412+00:00
28,28,97,2026-07-12T14:21:13.326412+00:00
29,29,98,2026-07-12T14:21:13.326412+00:00
30,30,94,2026-07-12T14:21:13.326412+00:00
31,31,205,2026-07-12T14:21:13.326412+00:00
32,32,82,2026-07-12T14:21:13.326412+00:00
33,33,147,2026-07-12T14:21:13.326412+00:00
34,34,106,2026-07-12T14:21:13.326412+00:00
36,36,188,2026-07-12T14:21:13.326412+00:00
37,37,85,2026-07-12T14:21:13.326412+00:00
38,38,164,2026-07-12T14:21:13.326412+00:00
39,39,204,2026-07-12T14:21:13.326412+00:00
40,40,99,2026-07-12T14:21:13.326412+00:00
41,41,172,2026-07-12T14:21:13.326412+00:00
42,42,162,2026-07-12T14:21:13.326412+00:00
43,43,107,2026-07-12T14:21:13.326412+00:00
44,44,96,2026-07-12T14:21:13.326412+00:00
45,45,133,2026-07-12T14:21:13.326412+00:00
46,46,187,2026-07-12T14:21:13.326412+00:00
48,48,150,2026-07-12T14:21:13.326412+00:00
49,49,80,2026-07-12T14:21:13.326412+00:00
50,50,220,2026-07-12T14:21:13.326412+00:00
51,51,180,2026-07-12T14:21:13.326412+00:00
52,52,116,2026-07-12T14:21:13.326412+00:00
53,53,177,2026-07-12T14:21:13.326412+00:00
54,54,77,2026-07-12T14:21:13.326412+00:00
55,55,153,2026-07-12T14:21:13.326412+00:00
56,56,143,2026-07-12T14:21:13.326412+00:00
57,57,197,2026-07-12T14:21:13.326412+00:00
58,58,116,2026-07-12T14:21:13.326412+00:00
59,59,121,2026-07-12T14:21:13.326412+00:00
60,60,187,2026-07-12T14:21:13.326412+00:00
61,61,99,2026-07-12T14:21:13.326412+00:00
62,62,79,2026-07-12T14:21:13.326412+00:00
63,63,211,2026-07-12T14:21:13.326412+00:00
64,64,164,2026-07-12T14:21:13.326412+00:00
65,65,93,2026-07-12T14:21:13.326412+00:00
66,66,81,2026-07-12T14:21:13.326412+00:00
67,67,152,2026-07-12T14:21:13.326412+00:00
68,68,104,2026-07-12T14:21:13.326412+00:00
69,69,86,2026-07-12T14:21:13.326412+00:00
70,70,87,2026-07-12T14:21:13.326412+00:00
71,71,111,2026-07-12T14:21:13.326412+00:00
72,72,103,2026-07-12T14:21:13.326412+00:00
73,73,171,2026-07-12T14:21:13.326412+00:00
74,74,136,2026-07-12T14:21:13.326412+00:00
75,75,85,2026-07-12T14:21:13.326412+00:00
76,76,79,2026-07-12T14:21:13.326412+00:00
77,77,191,2026-07-12T14:21:13.326412+00:00
78,78,163,2026-07-12T14:21:13.326412+00:00
79,79,84,2026-07-12T14:21:13.326412+00:00
80,80,193,2026-07-12T14:21:13.326412+00:00
81,81,180,2026-07-12T14:21:13.326412+00:00
82,82,198,2026-07-12T14:21:13.326412+00:00
83,83,84,2026-07-12T14:21:13.326412+00:00
84,84,192,2026-07-12T14:21:13.326412+00:00
85,85,136,2026-07-12T14:21:13.326412+00:00
86,86,96,2026-07-12T14:21:13.326412+00:00
87,87,75,2026-07-12T14:21:13.326412+00:00
88,88,208,2026-07-12T14:21:13.326412+00:00
89,89,202,2026-07-12T14:21:13.326412+00:00
90,90,210,2026-07-12T14:21:13.326412+00:00
91,91,140,2026-07-12T14:21:13.326412+00:00
