id,name,url,context_id,created_at
2,Saizeriya,,7,2026-07-12T04:44:23.746693+00:00
3,Matsuya,,7,2026-07-12T04:44:23.746693+00:00
4,Sukiya,,7,2026-07-12T04:44:23.746693+00:00
5,Ootoya,,7,2026-07-12T04:44:23.746693+00:00
6,Tabelog,,7,2026-07-12T04:44:23.746693+00:00
7,Big Boy,,7,2026-07-12T04:44:23.746693+00:00
8,Twitter,,29,2026-07-12T04:44:23.746693+00:00
9,YouTube,,29,2026-07-12T04:44:23.746693+00:00
10,TikTok,,29,2026-07-12T04:44:23.746693+00:00
11,Instagram,,29,2026-07-12T04:44:23.746693+00:00
12,Gmail,,29,2026-07-12T04:44:23.746693+00:00
13,UR Housing,,30,2026-07-12T04:44:23.746693+00:00
14,GG House,,30,2026-07-12T04:44:23.746693+00:00
15,Suumo,,30,2026-07-12T04:44:23.746693+00:00
16,Fine Select,,30,2026-07-12T04:44:23.746693+00:00
17,Amazon,,31,2026-07-12T04:44:23.746693+00:00
18,Rakuten Ichiba,,31,2026-07-12T04:44:23.746693+00:00
19,Rakuten Mobile,,32,2026-07-12T04:44:23.746693+00:00
20,Docomo,,32,2026-07-12T04:44:23.746693+00:00
21,PayPay,,33,2026-07-12T04:44:23.746693+00:00
22,SBI,,33,2026-07-12T04:44:23.746693+00:00
23,Rakuten Pay,,33,2026-07-12T04:44:23.746693+00:00
24,Navitime,,12,2026-07-12T04:44:23.746693+00:00
25,Rakuten Travel,,12,2026-07-12T04:44:23.746693+00:00
26,Google Maps,,12,2026-07-12T04:44:23.746693+00:00
28,Daiso,,36,2026-07-12T04:44:23.746693+00:00
29,Drugstore,,34,2026-07-12T04:44:23.746693+00:00
30,Electronic Store,,4,2026-07-12T04:44:23.746693+00:00
33,GU,,3,2026-07-12T04:45:49.097015+00:00
34,Uniqlo,,3,2026-07-12T04:45:49.097015+00:00
35,Muji,,35,2026-07-12T04:45:49.097015+00:00
36,Nitori,,35,2026-07-12T04:45:49.097015+00:00
37,OK Store,,5,2026-07-12T04:45:49.097015+00:00
38,Seiyu,,5,2026-07-12T04:45:49.097015+00:00
39,Family Mart,,1,2026-07-13T12:02:42.074069+00:00
