id,word_id,kanji_id,created_at,kanji_meaning_in_word,updated_at
127,3,1,2026-06-28T06:14:33.713204+00:00,to divide (the price),2026-06-28T07:02:31.383319+00:00
128,3,2,2026-06-28T06:14:33.713204+00:00,to pull down (the price),2026-06-28T07:02:31.383319+00:00
129,4,3,2026-06-28T06:14:33.713204+00:00,boxed meal,2026-06-28T07:02:31.383319+00:00
130,4,4,2026-06-28T06:14:33.713204+00:00,packed/contained,2026-06-28T07:02:31.383319+00:00
131,5,5,2026-06-28T06:14:33.713204+00:00,to make warm,2026-06-28T07:02:31.383319+00:00
132,6,6,2026-06-28T06:14:33.713204+00:00,bag/pouch,2026-06-28T07:02:31.383319+00:00
136,8,10,2026-06-28T06:14:33.713204+00:00,shop/establishment,2026-06-28T07:02:31.383319+00:00
137,8,11,2026-06-28T06:14:33.713204+00:00,person/staff member,2026-06-28T07:02:31.383319+00:00
138,9,12,2026-06-28T06:14:33.713204+00:00,to drink,2026-06-28T07:02:31.383319+00:00
139,9,13,2026-06-28T06:14:33.713204+00:00,thing/item,2026-06-28T07:02:31.383319+00:00
140,11,14,2026-06-28T06:14:33.713204+00:00,to go out,2026-06-28T07:02:31.383319+00:00
141,11,15,2026-06-28T06:14:33.713204+00:00,opening/gate,2026-06-28T07:02:31.383319+00:00
142,12,16,2026-06-28T06:14:33.713204+00:00,to go in,2026-06-28T07:02:31.383319+00:00
143,12,15,2026-06-28T06:14:33.713204+00:00,opening/gate,2026-06-28T07:02:31.383319+00:00
144,13,17,2026-06-28T06:14:33.713204+00:00,to board/ride,2026-06-28T07:02:31.383319+00:00
145,13,18,2026-06-28T06:14:33.713204+00:00,to switch/change,2026-06-28T07:02:31.383319+00:00
146,14,19,2026-06-28T06:14:33.713204+00:00,to check/verify,2026-06-28T07:02:31.383319+00:00
147,14,20,2026-06-28T06:14:33.713204+00:00,ticket/card,2026-06-28T07:02:31.383319+00:00
148,16,21,2026-06-28T06:14:33.713204+00:00,fixed/regular,2026-06-28T07:02:31.383319+00:00
149,16,22,2026-06-28T06:14:33.713204+00:00,period/term,2026-06-28T07:02:31.383319+00:00
150,16,23,2026-06-28T06:14:33.713204+00:00,pass/ticket,2026-06-28T07:02:31.383319+00:00
151,17,24,2026-06-28T06:14:33.713204+00:00,to be late,2026-06-28T07:02:31.383319+00:00
