slug,name,parent_slug,kind,existing_context,note
numbers,Numbers & Quantity,,core,Number / Quantity,
cardinal-numbers,Cardinal numbers,numbers,core,,"1-10, teens, tens, 100, 1000, 10000. Entirely absent today."
ordinal-numbers,Ordinal numbers,numbers,core,,"first, second, third…"
quantity-amount,Quantity & amount,numbers,core,,"some, many, few, all, none, half, both"
counters,Counters & measure words,numbers,core,,"Japanese counters and Chinese measure words are the same idea; German has none."
time-date,Time & Date,,core,Time / Date,
days-of-week,Days of the week,time-date,core,,Already complete in Japanese.
months,Months,time-date,core,,Already complete in Japanese.
time-of-day,Time of day,time-date,core,,"morning, noon, evening, night, hour, minute"
calendar-words,Calendar & relative time,time-date,core,,"today, tomorrow, yesterday, week, month, year, last/next"
duration-frequency,Duration & frequency,time-date,core,,"always, often, sometimes, never, since, until"
color,Colors,,core,Color,Partly present; missing several basics as standalone concepts.
people,People & Family,,core,,
family-members,Family members,people,core,,"mother, father, sibling, child, grandparent"
pronouns,Pronouns,people,core,,"I, you, he, she, we, they"
people-roles,People & roles,people,core,,"teacher, student, doctor, friend, neighbour, stranger"
body-health,Body & Health,,core,Body,
body-parts,Body parts,body-health,core,,"head, hand, eye, leg, back"
health-illness,Health & illness,body-health,core,,"pain, fever, cold, injury, medicine"
food-drink,Food & Drink,,core,,Objects only; the buying and ordering vocabulary lives in the situational categories.
fruit,Fruit,food-drink,core,,"apple, banana, orange, grape — entirely absent today."
vegetables,Vegetables,food-drink,core,,"carrot, potato, tomato, onion"
grains-carbs,Grains & carbs,food-drink,core,,"rice, bread, noodles, flour"
meat-fish,Meat & fish,food-drink,core,,
dairy-condiments,Dairy & condiments,food-drink,core,,"milk, cheese, butter, salt, sugar, oil"
drinks,Drinks,food-drink,core,,"water, tea, coffee, juice, beer"
cooking-taste,Cooking & taste,food-drink,core,,"boil, fry, sweet, salty, spicy, fresh"
home,Home,,core,Family / Home,
rooms,Rooms,home,core,,"kitchen, bedroom, bathroom, living room"
furniture,Furniture,home,core,,"chair, table, bed, shelf. The shop-visit vocabulary is under Furniture store."
appliances,Appliances,home,core,,"fridge, washing machine, air conditioner, lamp"
