concept_slug,gloss,word,reading,part_of_speech,level,note
bod-body,body,身体,shēn tǐ,noun,hsk2,Same characters as Japanese 身体.
bod-head,head,头,tóu,noun,hsk3,
bod-face,face,脸,liǎn,noun,hsk3,
bod-hair,hair,头发,tóu fa,noun,hsk3,
bod-eye,eye,眼睛,yǎn jing,noun,hsk2,
bod-ear,ear,耳朵,ěr duo,noun,hsk3,
bod-nose,nose,鼻子,bí zi,noun,hsk3,
bod-mouth,mouth,嘴,zuǐ,noun,hsk3,
bod-tooth,tooth,牙齿,yá chǐ,noun,hsk4,
bod-tongue,tongue,舌头,shé tou,noun,hsk5,
bod-neck,neck,脖子,bó zi,noun,hsk5,
bod-shoulder,shoulder,肩膀,jiān bǎng,noun,hsk5,
bod-arm,arm,胳膊,gē bo,noun,hsk4,
bod-hand,hand,手,shǒu,noun,hsk1,
bod-finger,finger,手指,shǒu zhǐ,noun,hsk4,
bod-chest,chest,胸,xiōng,noun,hsk5,
bod-back,back (body),背,bèi,noun,hsk4,
bod-stomach,stomach,肚子,dù zi,noun,hsk3,
bod-leg,leg,腿,tuǐ,noun,hsk3,
bod-foot,foot,脚,jiǎo,noun,hsk3,
bod-knee,knee,膝盖,xī gài,noun,hsk6,
bod-skin,skin,皮肤,pí fū,noun,hsk4,
bod-bone,bone,骨头,gǔ tou,noun,hsk5,
bod-blood,blood,血,xuè,noun,hsk4,
bod-heart-organ,heart (organ),心脏,xīn zàng,noun,hsk5,
bod-height,height (of a person),身高,shēn gāo,noun,hsk4,
bod-weight,body weight,体重,tǐ zhòng,noun,hsk4,
