concept_slug,gloss,word,reading,part_of_speech,level,note
color-itself,colour,颜色,yán sè,noun,hsk2,
color-red,red,红,hóng,adjective,hsk1,红色 (hóngsè) as a noun.
color-blue,blue,蓝,lán,adjective,hsk2,
color-green,green,绿,lǜ,adjective,hsk3,
color-yellow,yellow,黄,huáng,adjective,hsk3,
color-black,black,黑,hēi,adjective,hsk2,
color-white,white,白,bái,adjective,hsk2,
color-gray,grey,灰,huī,adjective,hsk4,
color-brown,brown,棕,zōng,adjective,hsk5,
color-orange,orange (colour),橙,chéng,adjective,hsk5,Same character as the fruit.
color-pink,pink,粉红,fěn hóng,adjective,hsk5,
color-purple,purple,紫,zǐ,adjective,hsk4,
color-silver,silver (colour),银,yín,adjective,hsk5,
color-gold,gold (colour),金,jīn,adjective,hsk4,
