concept_slug,gloss,word,reading,part_of_speech,level,note
dri-drink,drink,饮料,yǐn liào,noun,hsk3,
dri-water,water,水,shuǐ,noun,hsk1,
dri-hot-water,hot water,热水,rè shuǐ,noun,hsk2,
dri-tea,tea,茶,chá,noun,hsk1,
dri-black-tea,black tea,红茶,hóng chá,noun,hsk3,Literally "red tea".
dri-coffee,coffee,咖啡,kā fēi,noun,hsk1,
dri-juice,juice,果汁,guǒ zhī,noun,hsk3,
dri-milk-drink,milk (as a drink),牛奶,niú nǎi,noun,hsk2,
dri-soft-drink,soft drink,汽水,qì shuǐ,noun,hsk4,
dri-beer,beer,啤酒,pí jiǔ,noun,hsk3,
dri-wine,wine,葡萄酒,pú tao jiǔ,noun,hsk4,
dri-alcohol,alcohol,酒,jiǔ,noun,hsk3,
dri-soup,soup,汤,tāng,noun,hsk3,
