concept_slug,gloss,word,reading,part_of_speech,level,note
fam-family,family,家,jiā,noun,hsk1,Also means home.
fam-household,household,家庭,jiā tíng,noun,hsk3,
fam-parents,parents,父母,fù mǔ,noun,hsk3,
fam-father,father,父亲,fù qīn,noun,hsk3,Formal; 爸爸 is the everyday word.
fam-dad,dad,爸爸,bà ba,noun,hsk1,
fam-mother,mother,母亲,mǔ qīn,noun,hsk3,
fam-mum,mum,妈妈,mā ma,noun,hsk1,
fam-child,child,孩子,hái zi,noun,hsk2,
fam-son,son,儿子,ér zi,noun,hsk1,
fam-daughter,daughter,女儿,nǚ ér,noun,hsk1,
fam-older-brother,older brother,哥哥,gē ge,noun,hsk2,Chinese distinguishes age like Japanese.
fam-younger-brother,younger brother,弟弟,dì di,noun,hsk2,
fam-older-sister,older sister,姐姐,jiě jie,noun,hsk2,
fam-younger-sister,younger sister,妹妹,mèi mei,noun,hsk2,
fam-siblings,siblings,兄弟姐妹,xiōng dì jiě mèi,noun,hsk4,A four-character compound of all four terms.
fam-grandfather,grandfather,爷爷,yé ye,noun,hsk3,Paternal; 外公 is maternal.
fam-grandmother,grandmother,奶奶,nǎi nai,noun,hsk3,Paternal; 外婆 is maternal.
fam-grandchild,grandchild,孙子,sūn zi,noun,hsk5,
fam-uncle,uncle,叔叔,shū shu,noun,hsk3,One of several terms depending on the exact relation.
fam-aunt,aunt,阿姨,ā yí,noun,hsk3,
fam-cousin,cousin,表兄弟,biǎo xiōng dì,noun,hsk5,
fam-husband,husband,丈夫,zhàng fu,noun,hsk2,
fam-wife,wife,妻子,qī zi,noun,hsk2,
fam-married-couple,married couple,夫妻,fū qī,noun,hsk4,
fam-marriage,marriage,结婚,jié hūn,noun,hsk3,
fam-baby,baby,婴儿,yīng ér,noun,hsk4,
fam-relative,relative,亲戚,qīn qi,noun,hsk4,
