concept_slug,gloss,word,reading,part_of_speech,level,note
fruit-itself,fruit,水果,shuǐ guǒ,noun,hsk1,
fruit-apple,apple,苹果,píng guǒ,noun,hsk1,
fruit-banana,banana,香蕉,xiāng jiāo,noun,hsk3,
fruit-orange,orange (fruit),橙子,chéng zi,noun,hsk3,
fruit-grape,grape,葡萄,pú tao,noun,hsk4,
fruit-strawberry,strawberry,草莓,cǎo méi,noun,hsk4,
fruit-peach,peach,桃子,táo zi,noun,hsk4,
fruit-watermelon,watermelon,西瓜,xī guā,noun,hsk2,
fruit-pear,pear,梨,lí,noun,hsk4,Same character as Japanese 梨 but the European pear.
fruit-lemon,lemon,柠檬,níng méng,noun,hsk5,
fruit-pineapple,pineapple,菠萝,bō luó,noun,hsk5,
fruit-mango,mango,芒果,máng guǒ,noun,hsk5,
fruit-cherry,cherry,樱桃,yīng táo,noun,hsk5,
fruit-kiwi,kiwi,猕猴桃,mí hóu táo,noun,hsk6,
