concept_slug,gloss,word,reading,part_of_speech,level,note
mon-january,january,一月,yī yuè,noun,hsk1,"Numbered like Japanese: ""month one""."
mon-february,february,二月,èr yuè,noun,hsk1,
mon-march,march,三月,sān yuè,noun,hsk1,
mon-april,april,四月,sì yuè,noun,hsk1,
mon-may,may,五月,wǔ yuè,noun,hsk1,
mon-june,june,六月,liù yuè,noun,hsk1,
mon-july,july,七月,qī yuè,noun,hsk1,
mon-august,august,八月,bā yuè,noun,hsk1,
mon-september,september,九月,jiǔ yuè,noun,hsk1,
mon-october,october,十月,shí yuè,noun,hsk1,
mon-november,november,十一月,shí yī yuè,noun,hsk1,
mon-december,december,十二月,shí èr yuè,noun,hsk1,
mon-month-unit,month (unit of time),月,yuè,noun,hsk1,
