concept_slug,gloss,word,reading,part_of_speech,level,note
pro-i,I,我,wǒ,pronoun,hsk1,No register variants unlike Japanese.
pro-you-sg,you (singular),你,nǐ,pronoun,hsk1,您 (nín) is the polite form.
pro-you-pl,you (plural),你们,nǐ men,pronoun,hsk1,Plural is a regular 们 suffix.
pro-he,he,他,tā,pronoun,hsk1,Same sound as 她 and 它; only the character differs.
pro-she,she,她,tā,pronoun,hsk1,
pro-it,it,它,tā,pronoun,hsk2,
pro-we,we,我们,wǒ men,pronoun,hsk1,
pro-they,they,他们,tā men,pronoun,hsk1,
pro-oneself,oneself,自己,zì jǐ,pronoun,hsk3,
pro-someone,someone,有人,yǒu rén,pronoun,hsk2,
pro-noone,no one,没有人,méi yǒu rén,pronoun,hsk2,
pro-everyone-pro,everybody,大家,dà jiā,pronoun,hsk2,
pro-something,something,某事,mǒu shì,pronoun,hsk4,
pro-nothing,nothing,没什么,méi shén me,pronoun,hsk2,
