concept_slug,gloss,word,reading,part_of_speech,level,note
que-what,what,什么,shén me,pronoun,hsk1,
que-who,who,谁,shéi,pronoun,hsk1,Also read shuí in formal speech.
que-where,where,哪儿,nǎr,pronoun,hsk1,哪里 (nǎlǐ) in southern usage.
que-when,when,什么时候,shén me shí hou,adverb,hsk2,Literally "what time".
que-why,why,为什么,wèi shén me,adverb,hsk1,
que-how,how,怎么,zěn me,adverb,hsk1,
que-which,which,哪,nǎ,determiner,hsk1,
que-how-many,how many,几,jǐ,determiner,hsk1,For small expected counts; 多少 for larger.
que-how-much,how much,多少,duō shao,determiner,hsk1,
que-how-long,how long,多久,duō jiǔ,adverb,hsk3,
que-whose,whose,谁的,shéi de,determiner,hsk1,
