concept_slug,gloss,word,reading,part_of_speech,level,note
tod-time,time,时间,shí jiān,noun,hsk1,
tod-hour,hour,小时,xiǎo shí,noun,hsk2,
tod-minute,minute,分钟,fēn zhōng,noun,hsk2,
tod-second,second (unit of time),秒,miǎo,noun,hsk4,
tod-oclock,o'clock,点,diǎn,noun,hsk1,
tod-morning,morning,早上,zǎo shang,noun,hsk2,
tod-am,a.m.,上午,shàng wǔ,noun,hsk1,
tod-noon,noon,中午,zhōng wǔ,noun,hsk1,
tod-afternoon,afternoon,下午,xià wǔ,noun,hsk1,
tod-evening,evening,晚上,wǎn shang,noun,hsk1,
tod-night,night,夜,yè,noun,hsk3,
tod-midnight,midnight,半夜,bàn yè,noun,hsk4,
tod-daytime,daytime,白天,bái tiān,noun,hsk3,
tod-dawn,dawn,黎明,lí míng,noun,hsk6,
